"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 03- 27","1,725.95","1,729.41","1,750.70","1,725.95","","-1.78%"
"2025- 03- 26","1,757.14","1,748.72","1,762.59","1,742.78","","0.72%"
"2025- 03- 25","1,744.51","1,757.14","1,760.11","1,738.08","","-0.37%"
"2025- 03- 24","1,750.95","1,751.45","1,760.85","1,743.77","","-0.37%"
"2025- 03- 21","1,757.39","1,736.34","1,759.12","1,734.12","","0.47%"
"2025- 03- 20","1,749.22","1,741.05","1,754.91","1,739.07","","0.80%"
"2025- 03- 19","1,735.35","1,724.21","1,746.49","1,720.01","","0.72%"
"2025- 03- 18","1,722.98","1,739.32","1,743.03","1,717.28","","0.40%"
"2025- 03- 17","1,716.05","1,693.77","1,719.51","1,693.52","","1.88%"
"2025- 03- 14","1,684.36","1,680.15","1,688.07","1,672.72","","0.83%"
"2025- 03- 13","1,670.50","1,689.03","1,699.92","1,669.33","","-0.65%"
"2025- 03- 12","1,681.46","1,648.65","1,683.90","1,645.66","","1.68%"
"2025- 03- 11","1,653.66","1,634.94","1,658.14","1,625.76","","-1.31%"
"2025- 03- 10","1,675.59","1,657.31","1,678.56","1,654.11","","0.29%"
"2025- 03- 07","1,670.68","1,658.33","1,677.85","1,653.39","","-0.46%"
"2025- 03- 06","1,678.34","1,673.65","1,683.53","1,666.48","","1.00%"
"2025- 03- 05","1,661.79","1,655.86","1,670.93","1,647.46","","0.99%"
"2025- 03- 04","1,645.48","1,632.89","1,660.55","1,630.42","","-0.17%"
"2025- 02- 28","1,648.20","1,684.76","1,685.75","1,648.20","","-3.74%"
"2025- 02- 27","1,712.18","1,721.08","1,725.03","1,703.29","","-0.37%"
"2025- 02- 26","1,718.61","1,709.96","1,725.52","1,702.05","","0.38%"
"2025- 02- 25","1,712.18","1,704.28","1,717.37","1,697.86","","-0.27%"
"2025- 02- 24","1,716.88","1,715.15","1,721.08","1,709.71","","-0.97%"
"2025- 02- 21","1,733.67","1,739.85","1,740.10","1,720.34","","0.06%"
"2025- 02- 20","1,732.69","1,740.84","1,743.31","1,728.49","","-0.86%"
"2025- 02- 19","1,747.76","1,717.86","1,753.19","1,716.38","","2.12%"
"2025- 02- 18","1,711.44","1,703.78","1,713.91","1,695.63","","0.77%"
"2025- 02- 17","1,698.35","1,687.97","1,700.57","1,687.23","","0.60%"
"2025- 02- 14","1,688.22","1,684.02","1,694.89","1,679.08","","0.69%"
"2025- 02- 13","1,676.61","1,667.22","1,678.34","1,663.76","","0.89%"
"2025- 02- 12","1,661.79","1,662.78","1,664.51","1,645.48","","0.21%"
"2025- 02- 11","1,658.33","1,648.70","1,665.74","1,645.98","","0.98%"
"2025- 02- 10","1,642.27","1,630.91","1,648.94","1,625.72","","-0.09%"
"2025- 02- 07","1,643.76","1,654.38","1,656.60","1,640.54","","-0.54%"
"2025- 02- 06","1,652.65","1,648.45","1,655.12","1,641.04","","1.00%"
"2025- 02- 05","1,636.34","1,631.90","1,645.73","1,629.92","","1.10%"
"2025- 02- 04","1,618.56","1,620.04","1,641.28","1,611.89","","1.36%"
"2025- 02- 03","1,596.82","1,605.96","1,608.18","1,584.96","","-2.80%"
"2025- 01- 31","1,642.77","1,644.00","1,651.66","1,628.93","","0.18%"
"2025- 01- 30","1,639.80","1,644.25","1,644.25","1,639.80","","-1.18%"
"2025- 01- 24","1,659.32","1,657.09","1,667.47","1,651.66","","0.55%"
"2025- 01- 23","1,650.18","1,667.22","1,670.93","1,648.70","0.00K","-1.18%"
"2025- 01- 22","1,669.94","1,662.04","1,675.13","1,653.39","0.00K","1.18%"
"2025- 01- 21","1,650.42","1,662.28","1,672.16","1,640.79","0.00K","0.03%"
"2025- 01- 20","1,649.93","1,660.31","1,661.29","1,645.24","0.00K","-0.12%"
"2025- 01- 17","1,651.91","1,651.66","1,656.35","1,643.01","0.00K","-0.33%"
"2025- 01- 16","1,657.34","1,655.86","1,661.54","1,649.44","0.00K","1.57%"
"2025- 01- 15","1,631.65","1,637.09","1,653.64","1,628.44","0.00K","-0.21%"
"2025- 01- 14","1,635.11","1,633.13","1,640.30","1,622.26","0.00K","0.46%"
"2025- 01- 13","1,627.70","1,637.09","1,645.48","1,623.50","0.00K","-1.48%"
"2025- 01- 10","1,652.15","1,646.72","1,661.05","1,642.52","","0.12%"
"2025- 01- 09","1,650.18","1,646.47","1,668.71","1,645.98","0.00K","-0.07%"
"2025- 01- 08","1,651.41","1,624.24","1,662.53","1,620.53","0.00K","0.81%"
"2025- 01- 07","1,638.07","1,653.14","1,663.76","1,636.59","0.00K","0.23%"
"2025- 01- 06","1,634.37","1,603.24","1,641.28","1,603.24","0.00K","1.80%"
"2025- 01- 03","1,605.47","1,564.46","1,614.61","1,562.73","","2.31%"
"2025- 01- 02","1,569.15","1,573.35","1,577.30","1,559.76","0.00K","-0.41%"
"2024- 12- 30","1,575.57","1,575.08","1,595.83","1,570.88","","-0.20%"
"2024- 12- 27","1,578.79","1,588.42","1,590.40","1,568.16","","-0.48%"
"2024- 12- 26","1,586.44","1,602.75","1,606.21","1,584.47","0.00K","-0.63%"
"2024- 12- 24","1,596.57","1,596.57","1,602.50","1,588.17","","0.17%"
"2024- 12- 23","1,593.85","1,582.24","1,599.54","1,575.08","0.00K","1.41%"
"2024- 12- 20","1,571.62","1,581.26","1,581.75","1,555.07","","-1.09%"
"2024- 12- 19","1,588.91","1,591.38","1,599.29","1,580.76","","-2.41%"
"2024- 12- 18","1,628.19","1,606.70","1,633.38","1,606.21","","1.29%"
"2024- 12- 17","1,607.44","1,626.22","1,627.45","1,603.24","","-0.85%"
"2024- 12- 16","1,621.28","1,634.86","1,646.23","1,621.28","","-0.53%"
"2024- 12- 13","1,629.92","1,617.08","1,637.58","1,615.84","","0.33%"
"2024- 12- 12","1,624.49","1,611.74","1,628.90","1,604.64","","1.44%"
"2024- 12- 11","1,601.42","1,574.68","1,601.58","1,572.26","","1.00%"
"2024- 12- 10","1,585.49","1,563.60","1,588.07","1,561.48","","2.16%"
"2024- 12- 09","1,551.97","1,565.51","1,576.80","1,551.29","","-2.66%"
"2024- 12- 06","1,594.42","1,602.82","1,613.20","1,569.96","","-0.40%"
"2024- 12- 05","1,600.84","1,612.95","1,617.15","1,595.66","","-0.52%"
"2024- 12- 04","1,609.24","1,606.28","1,625.55","1,596.64","","-1.62%"
"2024- 12- 03","1,635.68","1,622.59","1,640.13","1,617.15","","1.55%"
"2024- 12- 02","1,610.73","1,623.82","1,630.49","1,606.03","","-0.11%"
"2024- 11- 29","1,612.46","1,641.12","1,641.37","1,598.13","","-1.66%"
"2024- 11- 28","1,639.64","1,645.32","1,648.28","1,637.41","","-0.51%"
"2024- 11- 27","1,648.04","1,652.98","1,660.39","1,641.12","","-0.71%"
"2024- 11- 26","1,659.90","1,656.93","1,660.64","1,651.00","","-0.28%"
"2024- 11- 25","1,664.59","1,659.16","1,671.76","1,654.21","","1.26%"
"2024- 11- 22","1,643.84","1,639.88","1,653.47","1,635.44","","0.70%"
"2024- 11- 21","1,632.47","1,619.13","1,640.38","1,617.89","","0.11%"
"2024- 11- 20","1,630.74","1,620.61","1,633.21","1,618.63","","0.18%"
"2024- 11- 19","1,627.78","1,621.60","1,630.25","1,616.16","","0.53%"
"2024- 11- 18","1,619.13","1,595.41","1,634.45","1,594.91","","2.23%"
"2024- 11- 15","1,583.80","1,575.64","1,594.67","1,565.02","","0.77%"
"2024- 11- 14","1,571.69","1,582.31","1,593.43","1,567.98","","-0.27%"
"2024- 11- 13","1,575.89","1,608.50","1,618.14","1,575.89","","-2.77%"
"2024- 11- 12","1,620.86","1,650.01","1,652.98","1,620.61","","-2.37%"
"2024- 11- 11","1,660.14","1,676.45","1,676.45","1,651.50","","-1.42%"
"2024- 11- 08","1,684.11","1,702.39","1,708.57","1,680.16","","-0.16%"
"2024- 11- 07","1,686.83","1,683.86","1,698.94","1,671.51","","-0.25%"
"2024- 11- 06","1,691.03","1,700.91","1,704.62","1,673.73","","-0.23%"
"2024- 11- 05","1,694.98","1,687.82","1,698.94","1,682.88","","-0.17%"
"2024- 11- 04","1,697.95","1,676.70","1,703.14","1,672.74","","1.57%"
"2024- 11- 01","1,671.76","1,674.23","1,684.11","1,667.80","","-0.79%"
"2024- 10- 31","1,685.10","1,693.01","1,700.91","1,682.63","","-1.62%"
"2024- 10- 30","1,712.77","1,723.89","1,725.62","1,704.37","","-0.84%"
"2024- 10- 29","1,727.35","1,720.43","1,727.84","1,709.31","","0.37%"
"2024- 10- 28","1,720.93","1,711.78","1,724.63","1,706.35","","0.87%"
"2024- 10- 25","1,706.10","1,706.84","1,721.91","1,699.92","","0.10%"
"2024- 10- 24","1,704.37","1,715.49","1,716.48","1,701.65","","-0.88%"
"2024- 10- 23","1,719.44","1,698.69","1,726.11","1,693.01","","1.18%"
"2024- 10- 22","1,699.43","1,716.48","1,718.45","1,693.01","","-1.26%"
"2024- 10- 21","1,721.17","1,720.18","1,731.55","1,713.27","","0.06%"
"2024- 10- 18","1,720.18","1,736.24","1,737.73","1,710.55","","-0.57%"
"2024- 10- 17","1,730.07","1,730.81","1,732.79","1,719.94","","0.23%"
"2024- 10- 16","1,726.11","1,720.68","1,733.03","1,713.02","","-0.95%"
"2024- 10- 15","1,742.67","1,744.65","1,748.35","1,731.06","","0.46%"
"2024- 10- 14","1,734.76","1,721.67","1,742.42","1,715.74","","1.09%"
"2024- 10- 11","1,715.98","1,727.84","1,732.54","1,713.02","","0.11%"
"2024- 10- 10","1,714.01","1,731.30","1,734.02","1,710.30","","0.20%"
"2024- 10- 08","1,710.55","1,713.27","1,716.48","1,702.15","","-0.89%"
"2024- 10- 07","1,725.87","1,711.78","1,728.59","1,689.05","","1.50%"
"2024- 10- 04","1,700.42","1,699.18","1,713.27","1,688.31","","0.39%"
"2024- 10- 02","1,693.75","1,690.78","1,715.00","1,684.11","","-1.48%"
"2024- 09- 30","1,719.20","1,771.08","1,774.79","1,712.77","","-2.23%"
"2024- 09- 27","1,758.48","1,782.94","1,785.41","1,758.23","","-0.74%"
"2024- 09- 26","1,771.58","1,738.47","1,771.82","1,737.48","","3.52%"
"2024- 09- 25","1,711.29","1,750.58","1,761.20","1,709.81","","-1.62%"
"2024- 09- 24","1,739.46","1,723.89","1,739.46","1,710.80","","1.31%"
"2024- 09- 23","1,716.97","1,718.21","1,719.94","1,708.82","","0.23%"
"2024- 09- 20","1,713.02","1,725.37","1,734.76","1,710.30","","0.26%"
"2024- 09- 19","1,708.57","1,714.25","1,723.40","1,683.12","","-0.06%"
"2024- 09- 13","1,709.56","1,707.09","1,717.22","1,697.21","","-0.01%"
"2024- 09- 12","1,709.81","1,688.89","1,709.81","1,687.10","","2.48%"
"2024- 09- 11","1,668.47","1,684.12","1,686.56","1,653.79","","-0.93%"
"2024- 09- 10","1,684.18","1,700.08","1,702.42","1,678.40","","-0.72%"
"2024- 09- 09","1,696.42","1,661.83","1,697.54","1,657.76","","-0.21%"
"2024- 09- 06","1,700.02","1,725.86","1,727.35","1,691.58","","-1.13%"
"2024- 09- 05","1,719.40","1,733.31","1,746.22","1,710.21","","-0.20%"
"2024- 09- 04","1,722.87","1,736.54","1,744.49","1,719.40","","-3.47%"
"2024- 09- 03","1,784.73","1,799.88","1,808.32","1,784.23","","-0.95%"
"2024- 09- 02","1,801.86","1,801.86","1,804.35","1,780.25","","-0.03%"
"2024- 08- 30","1,802.36","1,799.13","1,808.82","1,796.15","","0.32%"
"2024- 08- 29","1,796.65","1,792.18","1,799.88","1,783.98","","-1.58%"
"2024- 08- 28","1,825.46","1,811.30","1,825.46","1,802.11","","0.30%"
"2024- 08- 27","1,820.00","1,818.01","1,823.23","1,810.56","","-0.20%"
"2024- 08- 26","1,823.72","1,836.89","1,841.86","1,818.26","","-0.47%"
"2024- 08- 23","1,832.42","1,820.74","1,841.11","1,820.00","","-0.16%"
