"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 03- 27","19,990.25","20,046.00","20,199.50","19,937.25","7.66K","-0.63%"
"2025- 03- 26","20,116.50","20,511.50","20,536.75","20,045.00","620.69K","-1.82%"
"2025- 03- 25","20,488.50","20,353.00","20,524.75","20,293.00","470.89K","0.56%"
"2025- 03- 24","20,374.25","20,050.50","20,409.50","20,050.50","555.04K","2.07%"
"2025- 03- 21","19,961.00","19,898.50","19,977.50","19,602.25","605.24K","0.41%"
"2025- 03- 20","19,879.25","19,949.75","20,105.00","19,735.25","607.25K","-0.36%"
"2025- 03- 19","19,951.00","19,704.75","20,143.00","19,660.00","574.70K","1.27%"
"2025- 03- 18","19,701.75","20,041.00","20,066.50","19,604.25","569.61K","-1.68%"
"2025- 03- 17","20,038.25","19,885.50","20,167.75","19,757.00","508.95K","0.60%"
"2025- 03- 14","19,919.50","19,505.75","19,949.50","19,503.75","106.99K","2.39%"
"2025- 03- 13","19,453.75","19,787.25","19,900.75","19,372.50","37.53K","-1.88%"
"2025- 03- 12","19,826.25","19,605.25","19,992.25","19,593.50","21.32K","1.13%"
"2025- 03- 11","19,605.25","19,651.25","19,893.00","19,345.75","24.45K","0.78%"
"2025- 03- 10","19,452.75","20,147.00","20,156.50","19,272.25","798.37K","-3.84%"
"2025- 03- 07","20,229.75","20,214.50","20,286.25","19,765.50","763.26K","0.70%"
"2025- 03- 06","20,089.25","20,605.25","20,647.50","20,003.00","763.15K","-2.79%"
"2025- 03- 05","20,665.00","20,555.00","20,725.00","20,215.00","783.64K","1.30%"
"2025- 03- 04","20,399.00","20,527.00","20,732.50","20,075.25","958.07K","-0.34%"
"2025- 03- 03","20,468.25","21,005.25","21,121.00","20,316.75","833.04K","-2.16%"
"2025- 02- 28","20,919.50","20,649.50","20,944.25","20,460.50","845.89K","1.52%"
"2025- 02- 27","20,605.75","21,249.00","21,386.50","20,583.25","854.18K","-2.74%"
"2025- 02- 26","21,187.00","21,230.50","21,409.25","21,055.00","646.24K","0.18%"
"2025- 02- 25","21,149.00","21,442.50","21,453.75","20,990.00","805.68K","-1.27%"
"2025- 02- 24","21,420.25","21,700.75","21,813.00","21,407.50","670.63K","-1.19%"
"2025- 02- 21","21,679.25","22,136.00","22,245.50","21,652.75","708.35K","-2.09%"
"2025- 02- 20","22,141.75","22,213.00","22,235.50","21,951.00","563.59K","-0.49%"
"2025- 02- 19","22,250.50","22,224.50","22,299.75","22,118.00","496.44K","0.08%"
"2025- 02- 18","22,232.25","22,235.75","22,319.75","22,102.75","567.20K","0.16%"
