"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 03- 27","5,739.25","5,737.25","5,779.75","5,720.00","8.86K","-0.35%"
"2025- 03- 26","5,759.50","5,831.00","5,836.50","5,743.00","1.48M","-1.15%"
"2025- 03- 25","5,826.50","5,813.00","5,837.25","5,802.25","1.08M","0.19%"
"2025- 03- 24","5,815.50","5,740.00","5,825.50","5,739.00","1.40M","1.70%"
"2025- 03- 21","5,718.25","5,715.25","5,723.75","5,651.25","1.63M","0.10%"
"2025- 03- 20","5,712.75","5,731.75","5,765.25","5,682.50","1.73M","-0.30%"
"2025- 03- 19","5,729.75","5,670.50","5,770.50","5,657.50","1.75M","1.07%"
"2025- 03- 18","5,669.25","5,731.50","5,738.25","5,650.75","1.87M","-1.10%"
"2025- 03- 17","5,732.25","5,678.75","5,759.75","5,651.50","2.10M","0.70%"
"2025- 03- 14","5,692.25","5,590.25","5,700.75","5,589.50","796.17K","2.04%"
"2025- 03- 13","5,578.25","5,650.50","5,674.75","5,559.75","354.15K","-1.38%"
"2025- 03- 12","5,656.50","5,631.00","5,726.75","5,601.75","161.74K","0.51%"
"2025- 03- 11","5,628.00","5,674.50","5,703.50","5,584.75","142.06K","0.13%"
"2025- 03- 10","5,620.75","5,753.00","5,757.75","5,571.50","2.59M","-2.69%"
"2025- 03- 07","5,776.00","5,766.00","5,791.00","5,673.00","2.32M","0.52%"
"2025- 03- 06","5,746.25","5,844.75","5,853.50","5,720.00","2.55M","-1.79%"
"2025- 03- 05","5,851.25","5,832.00","5,869.50","5,750.75","2.28M","1.07%"
"2025- 03- 04","5,789.50","5,874.00","5,884.00","5,744.00","3.35M","-1.22%"
"2025- 03- 03","5,860.75","5,967.50","6,000.50","5,821.75","2.61M","-1.72%"
"2025- 02- 28","5,963.25","5,883.00","5,971.00","5,848.00","2.78M","1.48%"
"2025- 02- 27","5,876.25","5,980.00","6,014.50","5,873.00","2.58M","-1.58%"
"2025- 02- 26","5,970.75","5,982.00","6,023.75","5,945.50","1.90M","0.01%"
"2025- 02- 25","5,970.00","6,006.50","6,016.00","5,924.00","2.22M","-0.51%"
"2025- 02- 24","6,000.75","6,040.75","6,067.50","5,994.50","1.80M","-0.47%"
"2025- 02- 21","6,029.00","6,132.50","6,142.50","6,024.50","1.94M","-1.75%"
"2025- 02- 20","6,136.50","6,153.75","6,159.50","6,102.75","1.41M","-0.43%"
"2025- 02- 19","6,163.00","6,143.75","6,166.50","6,129.25","1.08M","0.26%"
"2025- 02- 18","6,146.75","6,138.25","6,157.75","6,118.25","1.20M","0.24%"
"2025- 02- 14","6,132.00","6,131.75","6,146.75","6,121.25","1.02M","-0.05%"
"2025- 02- 13","6,135.25","6,079.75","6,138.00","6,053.50","1.52M","1.03%"
"2025- 02- 12","6,072.75","6,090.75","6,098.00","6,020.75","1.56M","-0.32%"
"2025- 02- 11","6,092.25","6,085.50","6,098.75","6,057.75","1.02M","0.06%"
"2025- 02- 10","6,088.75","6,016.00","6,096.00","6,014.00","1.01M","0.65%"
"2025- 02- 07","6,049.50","6,089.75","6,123.25","6,041.25","1.68M","-0.93%"
"2025- 02- 06","6,106.00","6,090.25","6,108.50","6,070.00","1.18M","0.32%"
"2025- 02- 05","6,086.50","6,042.75","6,092.00","6,020.25","1.22M","0.39%"
"2025- 02- 04","6,063.00","6,069.00","6,069.00","5,987.00","1.33M","0.68%"
"2025- 02- 03","6,022.25","5,982.25","6,062.00","5,935.50","2.31M","-0.74%"
"2025- 01- 31","6,067.25","6,106.00","6,147.75","6,057.75","1.87M","-0.52%"
"2025- 01- 30","6,099.25","6,068.50","6,116.25","6,056.50","1.61M","0.52%"
"2025- 01- 29","6,067.50","6,090.75","6,111.50","6,042.25","1.55M","-0.48%"
"2025- 01- 28","6,097.00","6,059.50","6,105.50","6,023.50","1.59M","0.83%"
"2025- 01- 27","6,046.75","6,102.25","6,105.25","5,948.00","2.39M","-1.41%"
"2025- 01- 24","6,133.25","6,148.00","6,162.25","6,122.00","1.25M","-0.30%"
"2025- 01- 23","6,152.00","6,120.00","6,154.00","6,101.50","1.14M","0.51%"
