"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 03- 27","19.16","19.15","19.55","18.95","40.84K","0.05%"
"2025- 03- 26","19.15","18.62","19.46","18.40","44.41K","2.65%"
"2025- 03- 25","18.66","18.52","18.70","18.35","35.76K","0.85%"
"2025- 03- 24","18.50","19.35","19.35","18.45","39.60K","-5.01%"
"2025- 03- 21","19.47","19.47","20.05","19.30","38.71K","0.00%"
"2025- 03- 20","19.47","19.70","20.05","19.35","38.23K","-1.40%"
"2025- 03- 19","19.75","20.34","20.55","19.35","51.10K","-3.58%"
"2025- 03- 18","20.48","19.90","20.80","19.60","104.98K","2.83%"
"2025- 03- 17","19.92","20.90","21.20","19.80","119.83K","-3.69%"
"2025- 03- 14","20.68","22.55","22.55","20.64","125.68K","-8.63%"
"2025- 03- 13","22.63","21.95","23.10","21.40","95.99K","4.23%"
"2025- 03- 12","21.71","22.85","23.00","21.55","115.57K","-4.62%"
"2025- 03- 11","22.77","22.69","23.97","22.00","155.05K","-0.14%"
"2025- 03- 10","22.80","20.80","23.10","20.80","135.59K","5.42%"
"2025- 03- 07","21.63","22.40","23.62","21.55","152.13K","-5.27%"
"2025- 03- 06","22.83","20.30","22.95","20.20","157.33K","13.42%"
"2025- 03- 05","20.13","20.70","21.75","20.05","142.94K","-5.24%"
"2025- 03- 04","21.24","20.50","23.00","20.04","216.77K","2.82%"
"2025- 03- 03","20.66","18.70","21.25","18.40","136.14K","9.71%"
"2025- 02- 28","18.83","19.25","20.00","18.70","163.06K","-2.47%"
"2025- 02- 27","19.31","17.80","19.35","17.65","153.55K","6.47%"
"2025- 02- 26","18.13","18.35","18.75","17.60","117.94K","-1.89%"
"2025- 02- 25","18.48","18.35","19.40","18.05","159.91K","0.29%"
"2025- 02- 24","18.43","18.10","18.85","17.65","130.04K","0.71%"
"2025- 02- 21","18.30","16.95","18.45","16.91","162.04K","7.45%"
"2025- 02- 20","17.03","16.95","17.35","16.80","90.34K","6.85%"
"2025- 02- 19","15.94","15.50","15.80","15.29","2.32K","1.79%"
"2025- 02- 18","15.66","16.02","16.45","15.50","73.46K","-2.20%"
"2025- 02- 14","16.01","16.10","16.30","15.95","58.82K","-0.76%"
"2025- 02- 13","16.13","16.70","17.10","16.10","65.85K","-3.97%"
"2025- 02- 12","16.80","16.75","17.50","16.58","89.89K","0.19%"
"2025- 02- 11","16.77","16.75","17.01","16.55","55.03K","0.40%"
